builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,25100100,8,12.233,7.698,0.0,59.04,245.71,78.09,141.79,89.53,126.92
caps_sa,25100100,8,12.716,8.216,0.0,59.68,228.54,77.73,121.3,92.53,135.63
rust,50200200,8,25.336,16.336,0.0,62.04,252.66,80.58,178.8,96.69,144.74
caps_sa,50200200,8,27.404,18.48,0.0,61.41,255.42,80.51,154.0,99.47,134.93
rust,251001000,8,133.241,84.972,0.0,66.7,296.78,89.43,210.26,110.02,181.11
caps_sa,251001000,8,146.81,100.366,0.0,66.93,259.25,89.38,217.15,115.22,201.7
