builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,501000,1,0.246,0.129,0.0,57.01,110.72,71.07,88.26,79.58,103.92
rust,1002000,1,0.464,0.237,0.0,60.29,125.7,74.53,93.67,83.11,105.7
rust,5010000,1,2.661,1.479,0.0,67.35,202.89,86.61,109.54,98.92,127.51
caps_sa,501000,1,0.575,0.459,0.0,55.31,91.21,67.79,85.08,77.04,99.72
caps_sa,1002000,1,1.185,0.958,0.0,56.47,111.38,71.71,89.2,79.92,104.64
