builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,25100100,2,12.638,8.046,0.0,60.31,253.43,79.8,144.57,91.11,123.21
caps_sa,25100100,2,19.281,14.652,0.0,61.02,234.08,79.28,125.3,94.27,132.71
rust,50200200,2,26.11,16.847,0.0,62.88,248.69,82.88,182.4,98.54,141.0
caps_sa,50200200,2,42.186,33.06,0.0,62.55,261.02,83.21,155.79,99.94,143.21
rust,251001000,2,137.129,87.753,0.0,67.84,274.82,90.18,208.83,112.24,211.2
caps_sa,251001000,2,215.787,168.25,0.0,67.73,277.53,90.56,219.61,113.53,205.1
