builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,25100100,4,12.261,7.75,0.0,59.91,245.93,79.08,148.34,91.27,129.16
caps_sa,25100100,4,12.523,8.037,0.0,60.61,233.88,78.97,122.9,95.05,136.87
rust,50200200,4,25.262,16.312,0.0,62.04,245.98,81.87,179.2,97.71,138.64
caps_sa,50200200,4,27.188,18.356,0.0,61.75,259.33,81.35,153.07,98.19,138.62
rust,251001000,4,132.868,84.91,0.0,67.45,268.16,89.98,222.12,108.51,211.63
caps_sa,251001000,4,144.008,97.558,0.0,67.71,261.51,89.64,237.82,112.83,197.18
