builder,n_tokens,n_threads,t_total_s,t_sa_s,mem_mb,lat_1g_med,lat_1g_p99,lat_2g_med,lat_2g_p99,lat_4g_med,lat_4g_p99
rust,501000000,1,349.686,216.395,0.0,83.87,434.01,115.3,319.83,136.91,277.91
caps_sa,501000000,1,939.985,815.278,0.0,87.95,444.5,117.96,345.51,142.62,282.04
